S.No.,Question,Difficulty,Answer,Distractor 1,Distractor 2,Distractor 3,Distractor 4,,,,,,,
1,"""str1='happy'\n str2='birthday'\n result=str1+str2\n print(result)""",Easy,happybirthday,happy,birthdaybirthday,happy23,happybirthday,,,,,,,
2,"""x=8\ny=5\nresult=x+y\nprint(result)""",Easy,13,16,4,13,8,,,,,,,
3,"str3='hello'\nstr5='bye hi'\nstr6='tie die kite'\nprint(str3+str5+str6),",Medium,hellobyetiediekite,hellobye,hellobyetiediekite,tiediekite,hellltie,,,,,,,
4,"""print('Hello'+'hi')""",Easy,Hellohi,hel,,,,,,,,,,
5,"print(""abc. DEF'.capitalize())",Easy,Abc. def,Abc. def,abc. def,Abc. Def,ABC. DEF,,,,,,,
6,"""print(""stuti""+""sharma"")""",easy,stutisharma,stuti,sharma,stutiii,stutisharma,,,,,,,
7,"print(""a""+""bc"")",Easy,abc,a,bc,abc,bca,,,,,,,
8,""" var3=2\n var6=5 \n var9=4\n var2=1\n var5=7 var8=3 print(var3+var6+var9-var2+var5/var8)""",Diificult,5.6,3.4,5.6,6.7,2,,,,,,,
9,"""print('sam ALTMAN  '.islower())""",Medium,sam altman,sam,SAM ALTMAN,sam ALTman,sam altman,,,,,,,
10,"""num = 23\nflag = False\nif num > 1:\n    for i in range(2, num):\n        if (num % i) == 0:\n            flag = True\n            break\nif flag:\n    print(num, 'is not a prime number')\nelse:\n    print(num, 'is a prime number')""",Difficult,numisaprimenumbernumisaprimenumbernumisaprimenumber,numisa,primenumber,numnum,numisaprimenumbernumisaprimenumbernumisaprimenumber,,,,,,,
11,"""print('a@ 1,'.islower())""",Easy,TRUE,TRUE,FALSE,None,Error,,,,,,,
12,"""d = {1 : 'A', 2 : 'B', 3 : 'C'}\nd.clear()\nprint(sum(d.values()))""",Difficult,,bytes(5),"bytes(0, 0, 0, 0, 0)","bytes('\x00\x00\x00\x00\x00', 'utf-8')",bytes([0] * 5),,,,,,,
13,"""print('abc. DEF'.capitalize())""",Easy,Abc. def,Abc. def,abc. def,Abc. Def,ABC. DEF,,,,,,,
14,"""a = 'betty bought some bitter butter but the utter was so bitter 'print(a.count(""butter""))",,,,,,,,,,,,,
15,"""dictionary = {'Alice':100, 'Bob':100, 'Cat':100}\nprint(sum(dictionary.values()))""",Diificult,300,100,300,400,200,,,,,,,
16,"""var = 10\nprint(type(var))\nvar = 'Hello'\nprint(type(var))""",medium,str,char,int,str,float,,,,,,,#NAME?
17,"a = ""This is a string""
print (a.count(""i"")) ",Easy,Error,a,"""This is a string""",This is a string,Error,,,,,,,
18,"print(""a""+""bc"")",Easy,abc,a,bc,abc,bca,,,,,,,
19,"""var9=2\n var 6=5\n var 3=4\n var 5=4\n var10=var6+var3 * (var9-var6-var3)+(var5+var9-var6)\n print(var10)""",Difficult,-52,-54,89,34,25,,,,,,,
20,"a = ""This is a string""
print(a.count(""i""))",Easy,3,1,2,3,4,,,,,,,
21,"""var9=""the world is beautiful and life is is hard"" \n print( var9.count(""is""))""",Medium,3,4,5,,3,,,,,,,
22,"""var9=""ball is blue ,ball is red, ball is green ,balll is black"" \n print( var9.count(""ball""))""",Medium,4,2,4,6,3,,,,,,,
23,"""sentence='jai' \n print(sentence+sentence) """,Easy,jaijai,jai,jaiii,jjjjiii,jaijaiajai,,,,,,,
24,"""str5= ' JIIT'\n print(str5 *3)""",Easy,JIITJIITJIIT,JIIT,jiit,ji,JIITJIITJIIT,,,,,,,
25,"str = ""journey is beautiful "";
print (str.capitalize())",Medium,Journey is beautiful,Journey,journey is,journey is beautiful,Journey is beautiful,,,,,,,
26,"d = {'1' : 7,' 2; : 8, '3' : 9}\nd.clear()\nprint(sum(d.values()))",Diificult,24,45,23,24,12,,,,,,,
27,"print(""hello""+""alice""+""in""+""wonderland"")",Easy,helloalicein wonderland,heelo,hello,aliceinwonderland,helloaliceinwonderalnd,,,,,,,
28,"print(print(print(""javatpoint"")))    ",Medium, javatpoint None None, javatpoint None None,None None javatpoint,None javatpoint None,Javatpoint,,,,,,,
29,"What does the following code snippet do?   str1 = ""Hello, World!""
print(str1.isalpha())",Easy,Checks if the string contains only alphabetical characters,Checks if the string contains only alphabetical characters,Checks if the string contains only numeric characters,Checks if the string contains only alphanumeric characters,Checks if the string contains whitespace characters,,,,,,,
30,"text=""Artificial Intelligece"" \n print(len(text))",,,,,,,,,,,,,
31,"str1 = 'Welcome'
print(str1*2)",Easy,WelcomeWelcome,WelcomeWelcome,TypeError unsupported operand type(s),Welcome,No Output,,,,,,,
32,"str = ""my name is James bond"";
print (str.capitalize())",Easy,My name is james bond,My Name Is James Bond,TypeError: unsupported operand type(s) for * or pow(): 'str' and 'int',My name is james bond,No Output,,,,,,,
33,"animal = ""dog""
print(""animal "" + ""animal"")",Easy,animal animal,animal animal,animalanimal,animal dog,animaldog,,,,,,,
34,"""text='machine ' \n print(text.capitalize()) """,Medium,Machine,achine ,Machine,mahineeee,mmmachine,,,,,,,
38,"text = ""Hello, World!""
print(len(text))",Easy,12,11,12,13,14,,,,,,,
39,"""str1 = 'blackboxtesting'\nprint(str1.isalpha())""",Medium,TRUE,TRUE,FALSE,None,Both,,,,,,,
40,"""str1 = 'pyspark program'\nprint(str1.isalpha())""",Difficult,FALSE,TRUE,FALSE,None,can't be deterined,,,,,,,
41,"""str1 = 'pythonprogramming'\nprint(str1.count('p'))""",Difficult,2,0,1,2,3,,,,,,,
42,"""str1 = ' Requirement Analysis'\nprint(str1.count(""a""))",Difficult,2,1,3,2,0,,,,,,,
43,"str = ""My salary is 7000""; \nprint(str.isalnum())",Easy,FALSE,TRUE,FALSE,Error,No output,,,,,,,
44,"animal = ""dog"" \n print(""animal"" + animal)",Medium,animaldog,dogdog,dog dog,animal dog,animaldog,,,,,,,
45,"text = ""   Hello, World!   "" \nprint(text.strip())",Medium,"Hello, World!'","Hello, World!'","Hello, World! ' "," Hello, World!' "," Hello, World! '",,,,,,,
46,"text = ""Hello, World!""\n print(text.endswith(""!""))",Easy,TRUE,TRUE,FALSE,None,Error,,,,,,,
47,""" var 6=5\n var 3=4 \n var10=var6+var3 """,Easy,9,7,6,5,9,,,,,,,
48,""" var 5=8\n var 9=10 \n var1=var9-var5 """,Easy,2,4,2,3,1,,,,,,,
49,""" var 2=4\n var 6= 10 \n var3= var 2*var6""",Easy,40,90,10,30,20,,,,,,,
50,""" var 2=4\n var 5= 15 \n var3= var 2*var5""",Easy,60,50,34,27,40,,,,,,,
